# authority: IEEE Std 1003.1-2017 and The Open Group Base Specifications Issue 7, 2018 edition
# source: source member and assertion hashes are derived from the pinned SUSv4 Issue 7 archive
# derivation: every prose, list, and definition assertion in each selected source section, excluding Examples sections
# snapshot-count: 2644
# ordered-requirement-sha256: 27a3bac20484cf355b2f0ca9a9228ce0604cd19e252d5a9489cfc44269a05e0d
# q35_case invariant: open rows retain their parent probe; closed rows require an assertion-specific executable case
# state invariant: every recursive requirement is exactly open or closed and every open row has a falsifier
requirement	row	domain	parent	ordinal	assertion	assertion_sha256	implementation_requirement	q35_case	state	witness	next_action	falsifier
shell:tag_18_14.r274	shell:tag_18_14	shell	tag_18_14	274	POSIX.1-2008, Technical Corrigendum 2, XCU/TC2-2008/0052 [960] is applied.	d6db5d105719f1269179d8df42ff39abaf33810282a682cedcf516fd9c92518e	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r274_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r274.
shell:tag_18_14.r275	shell:tag_18_14	shell	tag_18_14	275	set [-abCefhmnuvx] [-o option] [argument...] set [+abCefhmnuvx] [+o option] [argument...] set -- [argument...] set -o set +o	fd5a363ac327146f0caab8a758c6fbcef81390b506204723198f65dc5ed196ce	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r275_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r275.
shell:tag_18_14.r276	shell:tag_18_14	shell	tag_18_14	276	If no options or arguments are specified, set shall write the names and values of all shell variables in the collation sequence of the current locale. Each name shall start on a separate line, using the format:	cb1a21be03250734019cd4aeb1e59de7ba3c0646738e3f53866df306ff433f1c	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r276_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r276.
shell:tag_18_14.r277	shell:tag_18_14	shell	tag_18_14	277	The value string shall be written with appropriate quoting; see the description of shell quoting in Quoting. The output shall be suitable for reinput to the shell, setting or resetting, as far as possible, the variables that are currently set; read-only variables cannot be reset.	49908a6e2514e169a9123ccc7489c25b375468776604481fb061551d1e198f05	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r277_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r277.
shell:tag_18_14.r278	shell:tag_18_14	shell	tag_18_14	278	When options are specified, they shall set or unset attributes of the shell, as described below. When arguments are specified, they cause positional parameters to be set or unset, as described below. Setting or unsetting attributes and positional parameters are not necessarily related actions, but they can be combined in a single invocation of set.	35514aee71ae182d7f212f4f6580482e50edc10e04d920ffb0d12e66c946037e	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r278_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r278.
shell:tag_18_14.r279	shell:tag_18_14	shell	tag_18_14	279	The set special built-in shall support XBD Utility Syntax Guidelines except that options can be specified with either a leading <hyphen-minus> (meaning enable the option) or <plus-sign> (meaning disable it) unless otherwise specified.	88188e38915e6b7f8943ee013aadf7c01f585ff19ffa7543b96375b3ee4739e0	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r279_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r279.
shell:tag_18_14.r280	shell:tag_18_14	shell	tag_18_14	280	Implementations shall support the options in the following list in both their <hyphen-minus> and <plus-sign> forms. These options can also be specified as options to sh.	8a0da06f9c242604386278d2f2d2c88dbaaf4f2d5dd2864699e8ecd7774a56f7	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r280_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r280.
shell:tag_18_14.r281	shell:tag_18_14	shell	tag_18_14	281	-a	c274891790345c56cef3b53c026bdc48150948fa60c56306073d6fea7766ad6a	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r281_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r281.
shell:tag_18_14.r282	shell:tag_18_14	shell	tag_18_14	282	When this option is on, the export attribute shall be set for each variable to which an assignment is performed; see XBD Variable Assignment. If the assignment precedes a utility name in a command, the export attribute shall not persist in the current execution environment after the utility completes, with the exception that preceding one of the special built-in utilities causes the export attribute to persist after the built-in has completed. If the assignment does not precede a utility name in the command, or if the assignment is a result of the operation of the getopts or read utilities, the export attribute shall persist until the variable is unset.	a16af883087df969a1aadb8550326cf9f9d1f603e20b5409fef8b7d5336b0dfd	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r282_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r282.
shell:tag_18_14.r283	shell:tag_18_14	shell	tag_18_14	283	-b	4fc0bdb51ffc8cfdcaaee067eb264b8a5c646176cf870be17c2e647fbb2cb7f4	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r283_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r283.
shell:tag_18_14.r284	shell:tag_18_14	shell	tag_18_14	284	This option shall be supported if the implementation supports the User Portability Utilities option. It shall cause the shell to notify the user asynchronously of background job completions. The following message is written to standard error: "[%d]%c %s%s\n", <job-number>, <current>, <status>, <job-name> where the fields shall be as follows: <current> The character '+' identifies the job that would be used as a default for the fg or bg utilities; this job can also be specified using the job_id "%+" or "%%". The character '-' identifies the job that would become the default if the current default job were to exit; this job can also be specified using the job_id "%-". For other jobs, this field is a <space>. At most one job can be identified with '+' and at most one job can be identified with '-'. If there is any suspended job, then the current job shall be a suspended job. If there are at least two suspended jobs, then the previous job also shall be a suspended job.	292d074945018e3ed4b80222c23d48baf144c2820c1622d0973ea31e5e61e189	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r284_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r284.
shell:tag_18_14.r285	shell:tag_18_14	shell	tag_18_14	285	<job-number>	3e487167eb0b2b662b77349b4996111580e8ca3d24884cf236ee3b72072a0395	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r285_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r285.
shell:tag_18_14.r286	shell:tag_18_14	shell	tag_18_14	286	A number that can be used to identify the process group to the wait, fg, bg, and kill utilities. Using these utilities, the job can be identified by prefixing the job number with '%'.	5c254f76b91e46f7d45b1d817370becf67bf834b259dea7d2e0014b3a9c38cc6	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r286_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r286.
shell:tag_18_14.r287	shell:tag_18_14	shell	tag_18_14	287	<status>	b28f999dde2dd39536ccbf5bce281f03ebdb2d4e5eef5b624889eba230aab157	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r287_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r287.
shell:tag_18_14.r288	shell:tag_18_14	shell	tag_18_14	288	Unspecified.	7591188c101784e48c478d684db3c0fa347fba46ce58e9c9873f06e817c97565	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r288_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r288.
shell:tag_18_14.r289	shell:tag_18_14	shell	tag_18_14	289	<job-name>	371b887e238e69f24befaa5cdd7f95c95a8e30d675e6c18736e62a734d5ddb88	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r289_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r289.
shell:tag_18_14.r290	shell:tag_18_14	shell	tag_18_14	290	Unspecified.	7591188c101784e48c478d684db3c0fa347fba46ce58e9c9873f06e817c97565	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r290_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r290.
shell:tag_18_14.r291	shell:tag_18_14	shell	tag_18_14	291	When the shell notifies the user a job has been completed, it may remove the job's process ID from the list of those known in the current shell execution environment; see Asynchronous Lists. Asynchronous notification shall not be enabled by default.	526d8acafb2240993585fad1439c8513101788388165a9522a78f5b34bca77a6	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r291_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r291.
shell:tag_18_14.r292	shell:tag_18_14	shell	tag_18_14	292	-C	de75ad58228bf5f0ffb99b04dced17644f4cfda7acb7b64e3ade4f52ca496e73	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r292_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r292.
shell:tag_18_14.r293	shell:tag_18_14	shell	tag_18_14	293	(Uppercase C.) Prevent existing files from being overwritten by the shell's '>' redirection operator (see Redirecting Output); the ">|" redirection operator shall override this noclobber option for an individual file.	043938287170ee99bab5945d738482572c928f89596ce8201184d5b0db4873fb	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r293_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r293.
shell:tag_18_14.r294	shell:tag_18_14	shell	tag_18_14	294	-e	44d2846e091eb9e7b6ac807e4d426fc83e819cec5681288eb3696a5c0e3d3678	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r294_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r294.
shell:tag_18_14.r295	shell:tag_18_14	shell	tag_18_14	295	When this option is on, when any command fails (for any of the reasons listed in Consequences of Shell Errors or by returning an exit status greater than zero), the shell immediately shall exit, as if by executing the exit special built-in utility with no arguments, with the following exceptions: The failure of any individual command in a multi-command pipeline shall not cause the shell to exit. Only the failure of the pipeline itself shall be considered. The -e setting shall be ignored when executing the compound list following the while, until, if, or elif reserved word, a pipeline beginning with the ! reserved word, or any command of an AND-OR list other than the last. If the exit status of a compound command other than a subshell command was the result of a failure while -e was being ignored, then -e shall not apply to this command. This requirement applies to the shell environment and each subshell environment separately. For example, in: set -e; (false; echo one) | cat; echo two the false command causes the subshell to exit without executing echo one; however, echo two is executed because the exit status of the pipeline (false; echo one) | cat is zero.	ec26de5facff6e936093a1e489bea08e301c25502567f5667feff40416cef061	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r295_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r295.
shell:tag_18_14.r296	shell:tag_18_14	shell	tag_18_14	296	-f	0e6503c1ece40e4ea7668463248ea2716eb37643f2c2c605f8bcee4d195a1705	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r296_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r296.
shell:tag_18_14.r297	shell:tag_18_14	shell	tag_18_14	297	The shell shall disable pathname expansion.	3d846509f577b7f923c763146e0c7282dbaae50f922c1814db6dc4c000e90458	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r297_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r297.
shell:tag_18_14.r298	shell:tag_18_14	shell	tag_18_14	298	-h	05dc0e47773fb3a7a4dc132574919f02b6242879820e347dc00a1962a96636b5	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r298_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r298.
shell:tag_18_14.r299	shell:tag_18_14	shell	tag_18_14	299	Locate and remember utilities invoked by functions as those functions are defined (the utilities are normally located when the function is executed).	f43a4e2a1ab367b38d6ecf7566c8154aaeaf82b7580a6cfede5c92eed915d297	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r299_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r299.
shell:tag_18_14.r300	shell:tag_18_14	shell	tag_18_14	300	-m	c4e153afb4aeaa5818fb08325ebff59f883a0482006aa3cc1c17c9b393e54efa	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r300_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r300.
shell:tag_18_14.r301	shell:tag_18_14	shell	tag_18_14	301	This option shall be supported if the implementation supports the User Portability Utilities option. All jobs shall be run in their own process groups. Immediately before the shell issues a prompt after completion of the background job, a message reporting the exit status of the background job shall be written to standard error. If a foreground job stops, the shell shall write a message to standard error to that effect, formatted as described by the jobs utility. In addition, if a job changes status other than exiting (for example, if it stops for input or output or is stopped by a SIGSTOP signal), the shell shall write a similar message immediately prior to writing the next prompt. This option is enabled by default for interactive shells.	0a4f686f4d93c9b7fa7eb78b9be2bba21b63083f82a29127717cd7cf0a16a58c	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r301_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r301.
shell:tag_18_14.r302	shell:tag_18_14	shell	tag_18_14	302	-n	5249f4fcc629efa0e6d6b2bf746b6c5de61611ce719ad61ac820fbe5c8cece66	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r302_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r302.
shell:tag_18_14.r303	shell:tag_18_14	shell	tag_18_14	303	The shell shall read commands but does not execute them; this can be used to check for shell script syntax errors. An interactive shell may ignore this option.	0141191ffd4c6e5d99aba8969d9ebffe9496bae5304eae1188f3601576b3d350	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r303_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r303.
shell:tag_18_14.r304	shell:tag_18_14	shell	tag_18_14	304	-o	29272c47115b5a93be87e3a9d8739fb2e8a1fea6aa31852af190389734c51946	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r304_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r304.
shell:tag_18_14.r305	shell:tag_18_14	shell	tag_18_14	305	Write the current settings of the options to standard output in an unspecified format.	6664d02c5668a1710eceaec2daefb00572d0c8da3095036123a811cb065d9d98	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r305_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r305.
shell:tag_18_14.r306	shell:tag_18_14	shell	tag_18_14	306	+o	84ebf107e644edbfa187618a20d443a57fd6024c84787bd607bc34bb2b1997b2	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r306_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r306.
shell:tag_18_14.r307	shell:tag_18_14	shell	tag_18_14	307	Write the current option settings to standard output in a format that is suitable for reinput to the shell as commands that achieve the same options settings.	9f7a66acbc03ebe1fac90b5b0177d9f79af51586501800e7162ab5317ca249b2	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r307_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r307.
shell:tag_18_14.r308	shell:tag_18_14	shell	tag_18_14	308	-o option	e60a3d10133d71c756ce86a15e1a821302a875ae1a95fbccaf1cf83071151e06	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r308_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r308.
shell:tag_18_14.r309	shell:tag_18_14	shell	tag_18_14	309	This option is supported if the system supports the User Portability Utilities option. It shall set various options, many of which shall be equivalent to the single option letters. The following values of option shall be supported: allexport Equivalent to -a.	b06a8ddfd04a7f4196ac98c1e3b86cbff4cf722fe2797e63b8da39853c8f1f39	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r309_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r309.
shell:tag_18_14.r310	shell:tag_18_14	shell	tag_18_14	310	errexit	5f2c54cdf58b5cadb0b1fa36700322f94977e7b364096160c3c21821d9a780bb	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r310_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r310.
shell:tag_18_14.r311	shell:tag_18_14	shell	tag_18_14	311	Equivalent to -e.	f3e073a5b42327093ecfbb436e68fd257eae61e1f24a6e0e35d67cb514f5dba6	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r311_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r311.
shell:tag_18_14.r312	shell:tag_18_14	shell	tag_18_14	312	ignoreeof	ba8872d9d0ef6599959317659ac17ccf082f7415e23c1db883b44818732b1c11	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r312_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r312.
shell:tag_18_14.r313	shell:tag_18_14	shell	tag_18_14	313	Prevent an interactive shell from exiting on end-of-file. This setting prevents accidental logouts when <control>-D is entered. A user shall explicitly exit to leave the interactive shell.	faeb4399273dc1d5bb6c59df0100292c3c8b27faf7b5a577fc80354d687dc514	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r313_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r313.
shell:tag_18_14.r314	shell:tag_18_14	shell	tag_18_14	314	monitor	7de97367c9cdc3c6db31aa114057b65cea1a7bafc71cf0595a2931011526a0a3	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r314_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r314.
shell:tag_18_14.r315	shell:tag_18_14	shell	tag_18_14	315	Equivalent to -m. This option is supported if the system supports the User Portability Utilities option.	163c9bed74d57489d8f9e48d4fe052b03cb42575164adf99492fa81e315f6e45	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r315_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r315.
shell:tag_18_14.r316	shell:tag_18_14	shell	tag_18_14	316	noclobber	f18e4177f4498bce80635d00121216f154d9c0af6b15b7b43d8635667e7ec40b	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r316_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r316.
shell:tag_18_14.r317	shell:tag_18_14	shell	tag_18_14	317	Equivalent to -C (uppercase C).	e72287c7b2f483eb9ffdfdf6047d48ac7bf2d5dff8d7ad2fd7547670e90fe1de	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r317_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r317.
shell:tag_18_14.r318	shell:tag_18_14	shell	tag_18_14	318	noglob	62e28340882807d248cdd0f94b7449c063ce955198793e06bf184897a37f4b0d	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r318_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r318.
shell:tag_18_14.r319	shell:tag_18_14	shell	tag_18_14	319	Equivalent to -f.	1e767116c97482a45c93a0efa807255b349a3b8a2ea87f99d9eacd85c50840af	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r319_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r319.
shell:tag_18_14.r320	shell:tag_18_14	shell	tag_18_14	320	noexec	3b91a36edfe4a1ddc5d72a0e4697e62ddbd57d64a49d4c21fe83e083735133a7	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r320_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r320.
shell:tag_18_14.r321	shell:tag_18_14	shell	tag_18_14	321	Equivalent to -n.	913ad540927f744055db5734dda3677d0db47cfd4ba87bdf1887031759ea9e6e	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r321_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r321.
shell:tag_18_14.r322	shell:tag_18_14	shell	tag_18_14	322	nolog	29ccabb4e51f27fc7bd5fc4d4e684f154a645c88ce401d9f66b89dd67d3f1c04	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r322_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r322.
shell:tag_18_14.r323	shell:tag_18_14	shell	tag_18_14	323	Prevent the entry of function definitions into the command history; see Command History List.	54b421104924b84364d27bbcc03003ef379485a63580d19eedd5099daac1fe94	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r323_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r323.
shell:tag_18_14.r324	shell:tag_18_14	shell	tag_18_14	324	notify	6cd6f41455d78245f1295895838dd1ec14449565a9a8c1c8ea43cb35b592e3ab	Implement the special built-in utilities with their environment mutation, error, exit-status, and command-search semantics.	shell:tag_18_14.q35	open	missing:shell:tag_18_14.r324_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_14.r324.
