# authority: IEEE Std 1003.1-2017 and The Open Group Base Specifications Issue 7, 2018 edition
# source: susv4-2018/utilities/V3_chap02.html
# derivation: every prose, list, and definition assertion in each selected parent section, excluding Examples sections
# snapshot-count: 724
# ordered-requirement-sha256: da00cbb9b7af9b288ad1ae2e533a0c5076e3729b0068a176e968cb36f41ae6c3
# state invariant: every recursive requirement is exactly open or closed and every open row has a falsifier
requirement	parent	ordinal	assertion	assertion_sha256	implementation_requirement	state	witness	next_action	falsifier
tag_18_05_02.r007	tag_18_05_02	7	Expands to the decimal number of positional parameters. The command name (parameter 0) shall not be counted in the number given by '#' because it is a special parameter, not a positional parameter.	d59e6d667c29b4c199b7972b1fe76e3876c74af609fd2eb52e8dd961cad43110	Expose the special parameters with their required values, field behavior, and status or process relationships without leaking host-only state.	open	missing:tag_18_05_02.r007_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_02.r007.
tag_18_05_02.r008	tag_18_05_02	8	?	8a8de823d5ed3e12746a62ef169bcf372be0ca44f0a1236abc35df05d96928e1	Expose the special parameters with their required values, field behavior, and status or process relationships without leaking host-only state.	open	missing:tag_18_05_02.r008_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_02.r008.
tag_18_05_02.r009	tag_18_05_02	9	Expands to the decimal exit status of the most recent pipeline (see Pipelines).	978604535d46db1588eaebb777079bb6f080be3e411084e0a9c893a8f7b8ecec	Expose the special parameters with their required values, field behavior, and status or process relationships without leaking host-only state.	open	missing:tag_18_05_02.r009_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_02.r009.
tag_18_05_02.r010	tag_18_05_02	10	-	3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112	Expose the special parameters with their required values, field behavior, and status or process relationships without leaking host-only state.	open	missing:tag_18_05_02.r010_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_02.r010.
tag_18_05_02.r011	tag_18_05_02	11	(Hyphen.) Expands to the current option flags (the single-letter option names concatenated into a string) as specified on invocation, by the set special built-in command, or implicitly by the shell.	6240a129c55c762daa836c816660f46789291ff6eef19e542fd4ac4684b48bc7	Expose the special parameters with their required values, field behavior, and status or process relationships without leaking host-only state.	open	missing:tag_18_05_02.r011_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_02.r011.
tag_18_05_02.r012	tag_18_05_02	12	$	09fc96082d34c2dfc1295d92073b5ea1dc8ef8da95f14dfded011ffb96d3e54b	Expose the special parameters with their required values, field behavior, and status or process relationships without leaking host-only state.	open	missing:tag_18_05_02.r012_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_02.r012.
tag_18_05_02.r013	tag_18_05_02	13	Expands to the decimal process ID of the invoked shell. In a subshell (see Shell Execution Environment ), '$' shall expand to the same value as that of the current shell.	0663f01885bceae63d1e19a30d9730420fcc7dcc4efe316d729abd8ba4a4ed6c	Expose the special parameters with their required values, field behavior, and status or process relationships without leaking host-only state.	open	missing:tag_18_05_02.r013_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_02.r013.
tag_18_05_02.r014	tag_18_05_02	14	!	bb7208bc9b5d7c04f1236a82a0093a5e33f40423d5ba8d4266f7092c3ba43b62	Expose the special parameters with their required values, field behavior, and status or process relationships without leaking host-only state.	open	missing:tag_18_05_02.r014_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_02.r014.
tag_18_05_02.r015	tag_18_05_02	15	Expands to the decimal process ID of the most recent background command (see Lists) executed from the current shell. (For example, background commands executed from subshells do not affect the value of "$!" in the current shell environment.) For a pipeline, the process ID is that of the last command in the pipeline.	4ee2f7bb577fd4261cc7b555393a51be4019c004f59a9a61089eb6be8e77b7a8	Expose the special parameters with their required values, field behavior, and status or process relationships without leaking host-only state.	open	missing:tag_18_05_02.r015_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_02.r015.
tag_18_05_02.r016	tag_18_05_02	16	0	5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9	Expose the special parameters with their required values, field behavior, and status or process relationships without leaking host-only state.	open	missing:tag_18_05_02.r016_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_02.r016.
tag_18_05_02.r017	tag_18_05_02	17	(Zero.) Expands to the name of the shell or shell script. See sh for a detailed description of how this name is derived.	d0a190b56bbd06a54680e5ac09e7696daeb46e63d06e8bd601aa254639d478fb	Expose the special parameters with their required values, field behavior, and status or process relationships without leaking host-only state.	open	missing:tag_18_05_02.r017_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_02.r017.
tag_18_05_02.r018	tag_18_05_02	18	See the description of the IFS variable in Shell Variables.	48a3a40c0f1fbea5825a1efb8d428119f9e7e61ae21feca6fabfdff442ae0c0e	Expose the special parameters with their required values, field behavior, and status or process relationships without leaking host-only state.	open	missing:tag_18_05_02.r018_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_02.r018.
tag_18_05_03.r001	tag_18_05_03	1	Variables shall be initialized from the environment (as defined by XBD Environment Variables and the exec function in the System Interfaces volume of POSIX.1-2017) and can be given new values with variable assignment commands. If a variable is initialized from the environment, it shall be marked for export immediately; see the export special built-in. New variables can be defined and initialized with variable assignments, with the read or getopts utilities, with the name parameter in a for loop, with the ${ name= word} expansion, or with other mechanisms provided as implementation extensions.	66dc65b72477baee1b554b414adb29c357620eac63776de1a85d36d7d7e1e9e5	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r001_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r001.
tag_18_05_03.r002	tag_18_05_03	2	The following variables shall affect the execution of the shell:	3b0d17d6746e65d5c254bf953c12c11d81bab284cf983899e7a39cf81283730a	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r002_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r002.
tag_18_05_03.r003	tag_18_05_03	3	ENV	416861c7e2c15aefefe28970e4c33ba6c1061ca5868ec15bc33126382200fe4a	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r003_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r003.
tag_18_05_03.r004	tag_18_05_03	4	[UP] The processing of the ENV shell variable shall be supported if the system supports the User Portability Utilities option. This variable, when and only when an interactive shell is invoked, shall be subjected to parameter expansion (see Parameter Expansion) by the shell and the resulting value shall be used as a pathname of a file containing shell commands to execute in the current environment. The file need not be executable. If the expanded value of ENV is not an absolute pathname, the results are unspecified. ENV shall be ignored if the user's real and effective user IDs or real and effective group IDs are different.	742b58376432259b384ff2ec9f1e4b94b993f8211b5fc298a4955e5f52f25460	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r004_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r004.
tag_18_05_03.r005	tag_18_05_03	5	HOME	36e65c39f83b8df92770b95b8cdad4947ebd58cc410ac6e8bbac7a21e8ce941c	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r005_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r005.
tag_18_05_03.r006	tag_18_05_03	6	The pathname of the user's home directory. The contents of HOME are used in tilde expansion (see Tilde Expansion).	fee3bfdaab225f30a46b772ceacf8b98945d02d4b8989d18189d56c0ce08deb8	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r006_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r006.
tag_18_05_03.r007	tag_18_05_03	7	IFS	400030c8e01d28be54f9ea8348cf46aa05d10782b03c9263b4b7cd39191bc572	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r007_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r007.
tag_18_05_03.r008	tag_18_05_03	8	A string treated as a list of characters that is used for field splitting, expansion of the '*' special parameter, and to split lines into fields with the read utility. If the value of IFS includes any bytes that do not form part of a valid character, the results of field splitting, expansion of '*', and use of the read utility are unspecified. If IFS is not set, it shall behave as normal for an unset variable, except that field splitting by the shell and line splitting by the read utility shall be performed as if the value of IFS is <space> <tab> <newline>; see Field Splitting. The shell shall set IFS to <space> <tab> <newline> when it is invoked.	9bfc311d158ad6ca45d22c800919027fa02433d3a45a8a8423c80c385c73f664	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r008_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r008.
tag_18_05_03.r009	tag_18_05_03	9	LANG	0d5d4ebd6f3086e733f2862137b0263b0545de5ea654b7e50bcd9b56575e6bba	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r009_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r009.
tag_18_05_03.r010	tag_18_05_03	10	Provide a default value for the internationalization variables that are unset or null. (See XBD Internationalization Variables for the precedence of internationalization variables used to determine the values of locale categories.)	e85fc338b0b3346c5eca37c188afab3ff3db74a6db58ed9847462e85aea797a2	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r010_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r010.
tag_18_05_03.r011	tag_18_05_03	11	LC_ALL	35f08b08f5e4598f9ff8f9db68d8def9f372b6ff91e4719502a8b2e75404a4a5	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r011_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r011.
tag_18_05_03.r012	tag_18_05_03	12	The value of this variable overrides the LC_* variables and LANG, as described in XBD Environment Variables.	fc4b5a8fd3c99b75710be0b68c8f923decbd850eff5f176a1523de85dcc5d16a	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r012_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r012.
tag_18_05_03.r013	tag_18_05_03	13	LC_COLLATE	c42d832e6457f7c477843f571738161477e4a41a707f50877e819be7a3bbe15e	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r013_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r013.
tag_18_05_03.r014	tag_18_05_03	14	Determine the behavior of range expressions, equivalence classes, and multi-character collating elements within pattern matching.	4e108afbea888b0911a71c9d1e1208de82ff7e01bf17cd4bf7ccc6d6267371f6	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r014_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r014.
tag_18_05_03.r015	tag_18_05_03	15	LC_CTYPE	fd9b65ffcebc1d1c2c0776b82f2f2d06a26f0255fec45f6e4e223ce7aa92691a	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r015_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r015.
tag_18_05_03.r016	tag_18_05_03	16	Determine the interpretation of sequences of bytes of text data as characters (for example, single-byte as opposed to multi-byte characters), which characters are defined as letters (character class alpha) and <blank> characters (character class blank), and the behavior of character classes within pattern matching. Changing the value of LC_CTYPE after the shell has started shall not affect the lexical processing of shell commands in the current shell execution environment or its subshells. Invoking a shell script or performing exec sh subjects the new shell to the changes in LC_CTYPE.	c2508869838199cb38bf1f27669cd9824539bc480b005cfb8cb1fe4268d7016d	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r016_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r016.
tag_18_05_03.r017	tag_18_05_03	17	LC_MESSAGES	3169c5b2fbfb04a4a2c6f844d443a5dae55779722d6d3fb59e163f6bdc77a47c	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r017_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r017.
tag_18_05_03.r018	tag_18_05_03	18	Determine the language in which messages should be written.	63039b417f3a8794efd7f0d78d5ae2a9fc97cb8b9813fd394bcb20d3c5d468ba	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r018_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r018.
tag_18_05_03.r019	tag_18_05_03	19	LINENO	7e1d6251611ed9b8710231084c2806db73313dd4abb81cdc654850da85a36480	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r019_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r019.
tag_18_05_03.r020	tag_18_05_03	20	Set by the shell to a decimal number representing the current sequential line number (numbered starting with 1) within a script or function before it executes each command. If the user unsets or resets LINENO, the variable may lose its special meaning for the life of the shell. If the shell is not currently executing a script or function, the value of LINENO is unspecified. This volume of POSIX.1-2017 specifies the effects of the variable only for systems supporting the User Portability Utilities option.	6880a85d74b544e6453c6f34b12a62532aa84cf14045ddd10a8cf6c8d863daf0	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r020_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r020.
tag_18_05_03.r021	tag_18_05_03	21	NLSPATH	3032043b2b426e42b95e37ba4805bfd9c0ac10de38de035ff2165fbfa886ad39	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r021_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r021.
tag_18_05_03.r022	tag_18_05_03	22	[XSI] Determine the location of message catalogs for the processing of LC_MESSAGES.	ef2cb0cf509673d545e0f4f73e2a9d2716d428881b0bb6cdba70783d6436420a	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r022_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r022.
tag_18_05_03.r023	tag_18_05_03	23	PATH	d4db71eecc1adeeae61a48d9a283751048b92e46fa4a99d7aea7228d02cbd523	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r023_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r023.
tag_18_05_03.r024	tag_18_05_03	24	A string formatted as described in XBD Environment Variables, used to effect command interpretation; see Command Search and Execution.	d210a3d4fb88f4717b60395c13f0249ea4615e6e5a97cdc7edd5298d3056683e	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r024_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r024.
tag_18_05_03.r025	tag_18_05_03	25	PPID	89ad67d16ab37df081921bfaf89e2412dfda42d531eb7dbf40a8ad303d62e9c2	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r025_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r025.
tag_18_05_03.r026	tag_18_05_03	26	Set by the shell to the decimal value of its parent process ID during initialization of the shell. In a subshell (see Shell Execution Environment), PPID shall be set to the same value as that of the parent of the current shell. For example, echo $ PPID and (echo $ PPID) would produce the same value.	6420f2f067d87a0cac7c02e250f7b472009427c2040f9ce6bde9e64d72ddccbe	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r026_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r026.
tag_18_05_03.r027	tag_18_05_03	27	PS1	5e5726a1a17bf71f8c97f904737211fc3ebae595e042bef93cd44de13b570a8b	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r027_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r027.
tag_18_05_03.r028	tag_18_05_03	28	Each time an interactive shell is ready to read a command, the value of this variable shall be subjected to parameter expansion and written to standard error. The default value shall be "$ ". For users who have specific additional implementation-defined privileges, the default may be another, implementation-defined value. The shell shall replace each instance of the character '!' in PS1 with the history file number of the next command to be typed. Escaping the '!' with another '!' (that is, "!!" ) shall place the literal character '!' in the prompt. This volume of POSIX.1-2017 specifies the effects of the variable only for systems supporting the User Portability Utilities option.	6f0bede69edb992757436e3a7e56212b6ee12ac5c91d729ab0a366e3d65a104a	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r028_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r028.
tag_18_05_03.r029	tag_18_05_03	29	PS2	61099b7f8648f4a859d7b02f02b8868810d57399f778eb6c9f763c4f99704dc6	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r029_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r029.
tag_18_05_03.r030	tag_18_05_03	30	Each time the user enters a <newline> prior to completing a command line in an interactive shell, the value of this variable shall be subjected to parameter expansion and written to standard error. The default value is "> ". This volume of POSIX.1-2017 specifies the effects of the variable only for systems supporting the User Portability Utilities option.	8b5efc14c5452a5a940c27010ca043482412d6a9a0e131f5ec6d2768378080f0	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r030_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r030.
tag_18_05_03.r031	tag_18_05_03	31	PS4	b81652e5b37ef9423fd61ea4ff689963f626f155d0394536097b6d70af6e2042	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r031_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r031.
tag_18_05_03.r032	tag_18_05_03	32	When an execution trace (set -x) is being performed in an interactive shell, before each line in the execution trace, the value of this variable shall be subjected to parameter expansion and written to standard error. The default value is "+ ". This volume of POSIX.1-2017 specifies the effects of the variable only for systems supporting the User Portability Utilities option.	aac1d6abcc90c268d354d0fde57e867ee462130432898ed917fe8ac2df82a1cc	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r032_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r032.
tag_18_05_03.r033	tag_18_05_03	33	PWD	62a5d3578e6aa1ffe0398d5616125b2a7b891f1ffc08a567059f9bfa95242fcd	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r033_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r033.
tag_18_05_03.r034	tag_18_05_03	34	Set by the shell and by the cd utility. In the shell the value shall be initialized from the environment as follows. If a value for PWD is passed to the shell in the environment when it is executed, the value is an absolute pathname of the current working directory that is no longer than {PATH_MAX} bytes including the terminating null byte, and the value does not contain any components that are dot or dot-dot, then the shell shall set PWD to the value from the environment. Otherwise, if a value for PWD is passed to the shell in the environment when it is executed, the value is an absolute pathname of the current working directory, and the value does not contain any components that are dot or dot-dot, then it is unspecified whether the shell sets PWD to the value from the environment or sets PWD to the pathname that would be output by pwd -P. Otherwise, the sh utility sets PWD to the pathname that would be output by pwd -P. In cases where PWD is set to the value from the environment, the value can contain components that refer to files of type symbolic link. In cases where PWD is set to the pathname that would be output by pwd -P, if there is insufficient permission on the current working directory, or on any parent of that directory, to determine what that pathname would be, the value of PWD is unspecified. Assignments to this variable may be ignored. If an application sets or unsets the value of PWD, the behaviors of the cd and pwd utilities are unspecified.	e24ca54f9f7144fa68be20d775daf89ee4a133f3c23c00d0f6ed3cb1c2e077f8	Maintain shell variables, environment export state, IFS behavior, HOME, PATH, and variable assignment effects across command execution.	open	missing:tag_18_05_03.r034_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05_03.r034.
tag_18_06.r001	tag_18_06	1	This section describes the various expansions that are performed on words. Not all expansions are performed on every word, as explained in the following sections.	367d2a3bfa354368e330b6bc23d26dfbaff45f28b3d6ecbd1746e695fdd590c2	Execute the specified expansion sequence and preserve field boundaries, pathname expansion, and final quote removal.	open	missing:tag_18_06.r001_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_06.r001.
tag_18_06.r002	tag_18_06	2	Tilde expansions, parameter expansions, command substitutions, arithmetic expansions, and quote removals that occur within a single word expand to a single field. It is only field splitting or pathname expansion that can create multiple fields from a single word. The single exception to this rule is the expansion of the special parameter '@' within double-quotes, as described in Special Parameters.	67623fd10a9ded2a3bffe8df31dadd74d30274c5dd49cff68258430ffe889925	Execute the specified expansion sequence and preserve field boundaries, pathname expansion, and final quote removal.	open	missing:tag_18_06.r002_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_06.r002.
tag_18_06.r003	tag_18_06	3	The order of word expansion shall be as follows:	84a236df525d2e1cff5c45669e95241c49c969f0e1ba7003eafd21d223120a2f	Execute the specified expansion sequence and preserve field boundaries, pathname expansion, and final quote removal.	open	missing:tag_18_06.r003_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_06.r003.
tag_18_06.r004	tag_18_06	4	Tilde expansion (see Tilde Expansion), parameter expansion (see Parameter Expansion), command substitution (see Command Substitution), and arithmetic expansion (see Arithmetic Expansion) shall be performed, beginning to end. See item 5 in Token Recognition.	dbcee831f15b3674527f0601c4808670d7d9d74e23300a5c1b29e38a5c345962	Execute the specified expansion sequence and preserve field boundaries, pathname expansion, and final quote removal.	open	missing:tag_18_06.r004_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_06.r004.
tag_18_06.r005	tag_18_06	5	Field splitting (see Field Splitting) shall be performed on the portions of the fields generated by step 1, unless IFS is null.	d59c5b78411e10152d83089626b7d51bd25d4393cef2f614e6b9cc356961d26d	Execute the specified expansion sequence and preserve field boundaries, pathname expansion, and final quote removal.	open	missing:tag_18_06.r005_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_06.r005.
tag_18_06.r006	tag_18_06	6	Pathname expansion (see Pathname Expansion) shall be performed, unless set -f is in effect.	7b91cce4922e767c3682dcffbd0dbf2253cacffdebbbb461e36ba06717a92085	Execute the specified expansion sequence and preserve field boundaries, pathname expansion, and final quote removal.	open	missing:tag_18_06.r006_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_06.r006.
tag_18_06.r007	tag_18_06	7	Quote removal (see Quote Removal) shall always be performed last.	515d0c03825dd19d8b987fd8a2be5c20f93c114f714b9babb8afdece01b9b778	Execute the specified expansion sequence and preserve field boundaries, pathname expansion, and final quote removal.	open	missing:tag_18_06.r007_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_06.r007.
